#Size	FF	SG	Hand	Learn1	Learn2	Learn3	Learn4	Count
1	0.01	0.11	0.02	0.07	0.15	0.28	0.68	20
5	0.03	0.14	0.04	0.12	0.23	0.34	0.78	20
10	0.06	0.19	0.08	0.24	0.35	0.51	0.86	20
15	0.16	0.27	0.14	0.39	0.56	0.72	1.18	20
25	0.51	0.44	0.22	0.51	0.67	0.83	1.32	19
35	1.15	0.79	0.39	0.84	1.14	1.22	3.88	18
50	4.32	1.84	0.68	1.49	1.99	2.07	9.31	20
65	16.94	3.55	1.01	41.1	2.87	2.86	5.76	17
80	39.01	5.55	1.50	2.98	3.64	3.78	5.94	18
100	51.20	7.99	2.28	13.56	5.35	5.52	147	17
125	114	11.4	2.86	5.35	6.81	6.37	8.22	16
150	445	27.8	4.29	8.06	9.87	9.52	11.8	12
175	265	27.4	5.55	10.2	12.9	11.1	16.6	13
200	488	39.8	6.84	13.5	17.0	15.4	19.5	15
225	799	48.4	8.50	17.0	17.4	16.5	20.7	12
250	980	67.7	11.3	20.8	23.8	22.7	26.2	11
300	985	85.0	15.3	27.8	33.4	29.1	39.0	10

# These use only data points that are defined across the entire table.
