#Size	FF	SG	Hand	Learn1	Learn2	Learn3	Learn4
1	20	20	20	20	20	20	20
5	20	20	20	20	20	20	20
10	20	20	20	20	20	20	20
15	20	20	20	20	20	20	20
25	20	20	20	20	19	20	19
35	20	20	20	19	19	18	19
50	20	20	20	20	20	20	20
65	20	20	20	19	20	18	19
80	20	20	20	20	19	20	18
100	20	20	20	20	18	18	17
125	20	20	20	16	18	16	17
150	20	20	20	19	16	13	15
175	20	20	20	16	18	18	16
200	18	20	20	18	18	17	17
225	18	20	20	20	17	18	14
250	16	20	20	17	18	16	16
300	17	20	20	17	17	15	15
350	15	20	20	16	17	14	15
400	13	20	20	15	14	14	12
450	11	20	20	19	13	19	13
500	8	20	20	10	8	9	8
