#Size	FF	SG	Hand	Learn1	Learn2	Learn3	Learn4	Count
5	0.01	0.20	0.05	0.33	0.84	0.91	2.39	19
6	0.01	0.20	0.06	0.46	1.18	1.04	263.70	13
7	0.01	0.21	0.08	1.36	2.16	2.82	3.57	14
8	0.02	0.22	0.09	0.97	1.88	1.86	3.87	16
9	0.02	0.24	0.12	1.55	2.78	2.57	7.92	18
10	0.03	0.25	0.13	2.51	4.68	3.96	8.54	17
11	0.04	0.28	0.22	4.91	8.67	6.75	16.33	20
12	0.05	0.30	0.22 	8.15	10.48	12.83	16.41	19
13	0.07	0.35	0.30	17.00	22.83	27.82	32.45	16
14	0.09	0.44	0.40	15.46	22.61	20.09	53.25	19
15	0.12	0.52	0.47	18.55	29.01	23.53	42.06	19
16	0.12	0.53	0.47	24.45	34.20	30.67	71.96	20
17	0.17	0.68	0.56	31.80	46.31	40.04	68.29	20
18	0.23	1.09	0.83	56.23	96.07	65.69	126.96	20
19	0.22	1.10	0.86	69.29	107.14	84.07	141.59	20
20	0.28	1.32	1.01	81.99	106.99	98.68	138.24	20
21	0.43	2.09	1.20	113.22	174.26	135.95	243.41	19
22	0.46	2.63	1.35	134.81	218.55	168.43	300.11	20
23	0.81	3.33	2.00	228.57	376.75	278.60	467.80	19
24	1.39	4.20	2.01	320.12	482.47	377.22	600.60	20
25	1.33	5.18	2.41	312.44	567.47	367.27	728.24	20

# These use only data points that are defined across the entire table
