#Size	FF	SG	Hand	Learn1	Learn2	Learn3	Learn4
5	20	20	20	20	19	20	19
6	20	20	20	20	13	20	13
7	20	20	20	20	14	20	14
8	20	20	20	19	16	19	16
9	20	20	20	20	18	20	18
10	20	20	20	20	18	20	17
11	20	20	20	20	20	20	20
12	20	20	20	20	19	20	19
13	20	20	20	20	16	20	16
14	20	20	20	20	19	20	19
15	20	20	20	20	19	20	19
16	20	20	20	20	20	20	20
17	20	20	20	20	20	20	20
18	20	20	20	20	20	20	20
19	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20
21	20	20	20	20	19	20	19
22	20	20	20	20	20	20	20
23	20	20	20	20	19	20	19
24	20	20	20	20	20	20	20
25	20	20	20	20	20	20	20
