#Size	FF	SG	Hand	Learn1	Learn2	Learn3	Learn4	Count
1	0.01	0.11	0.03	0.06	0.07	0.11	0.12	20
5	0.02	0.13	0.06	0.11	0.11	0.16	0.16	20
10	0.03	0.15	0.11	0.23	0.21	0.30	0.29	20
15	0.18	0.18	0.17	0.33	0.31	0.41	0.43	20
25	1.26	0.22	0.27	0.54	0.59	0.66	0.81	20
35	15.5	0.27	0.41	0.79	0.94	0.94	1.28	20
50	31.4	0.37	0.64	1.24	1.47	1.44	1.95	20
65	101	0.48	0.92	1.77	2.35	2.01	3.04	20
80	369	0.67	1.16	2.33	2.96	2.62	3.66	20
100	830	0.98	1.62	3.20	4.11	3.58	5.15	20
125	9999	1.53	2.16	4.35	5.93	4.85	7.21	20
150	9999	2.14	3.28	6.37	9.47	6.85	11.0	20
175	9999	3.00	3.71	6.95	9.37	7.21	10.7	20
200	9999	4.28	3.88	7.68	10.7	8.10	12.7	20
225	9999	5.72	4.95	9.66	14.0	10.3	16.3	20
250	9999	7.72	5.75	10.5	15.1	11.0	17.1	20
300	9999	14.7	8.44	16.0	23.8	16.9	27.8	20
350	9999	23.6	10.9	21.9	33.8	23.3	39.3	20
400	9999	37.7	13.0	25.1	39.8	26.6	43.3	20
450	9999	55.1	16.7	33.1	49.4	34.4	55.1	19
500	9999	84.6	18.6	39.1	56.4	38.9	60.1	14

# These use only data points that are defined across the entire table
