#Size	FF	SG	Hand	Learn1	Learn2	Learn3	Learn4
1	20	20	20	20	20	20	20
5	20	20	20	20	20	20	20
10	20	20	20	20	20	20	20
15	20	20	20	20	20	20	20
25	20	20	20	20	20	20	20
35	20	20	20	20	20	20	20
50	20	20	20	20	20	20	20
65	20	20	20	20	20	20	20
80	18	20	20	20	20	20	20
100	13	20	20	20	20	20	20
125	6	20	20	20	20	20	20
150	4	20	20	20	20	20	20
175	4	20	20	20	20	20	20
200	2	20	20	20	20	20	20
225	3	20	20	20	20	20	20
250	2	20	20	20	20	20	20
300	2	20	20	20	20	20	20
350	1	20	20	20	20	20	20
400	0	20	20	20	20	20	20
450	0	20	20	20	19	20	19
500	0	20	20	20	14	20	14
